symbol,name,facev,marketcap_cr,vwap,outshares,dividend,exdate,recorddate
CELEBRITY,Celebrity Fashions Limited,10.00,30.12,11.39,26444249.341527656,ANNUAL GENERAL MEETING,14-SEP-17,-
CELESTIAL,Celestial Biolabs Limited,10.00,15.81,13.93,11349605.168700647,ANNUAL GENERAL MEETING,22-SEP-17,-
CENTENKA,Century Enka Limited,10.00,466.16,291.42,15996156.749708327,DIVIDEND- RS 7 PER SHARE,02-JUL-18,-
CENTEXT,Century Extrusions Limited,1.00,21.89,5.71,38336252.18914186,ANNUAL GENERAL MEETING,02-AUG-18,-
CENTRALBK,Central Bank of India,10.00,2527.31,68.92,366701973.30237955,ANNUAL GENERAL MEETING,21-JUN-18,-
CENTRUM,Centrum Capital Limited,1.00,800.45,51.68,154885835.9133127,ANNUAL GENERAL MEETING,03-AUG-18,-
CENTUM,Centum Electronics Limited,10.00,197.84,374.69,5280098.214524007,INTERIM DIVIDEND - RE 1 PER SHARE,22-FEB-18,23-FEB-18
CENTURYPLY,Century Plyboards (India) Limited,1.00,1415.86,225.77,62712495.01705275,ANNUAL GENERAL MEETING\/DIVIDEND- RS 1 PER SHARE,06-SEP-18,-
CENTURYTEX,Century Textiles & Industries Limited,10.00,4870.67,941.74,51719901.45900143,ANNUAL GENERAL MEETING \/ DIVIDEND- RS 6.50 PER SHARE,20-JUL-18,-
CERA,Cera Sanitaryware Limited,5.00,1519.88,2763.25,5500334.750746404,ANNUAL GENERAL MEETING\/DIVIDEND- RS 12 PER SHARE,14-AUG-18,-
CEREBRAINT,Cerebra Integrated Technologies Limited,10.00,621.83,55.31,112426324.3536431,ANNUAL GENERAL MEETING,16-AUG-17,-
CESC,CESC Limited,10.00,6238.80,1003.96,62141918.00470138,INTERIM DIVIDEND - RS 12 PER SHARE (PURPOSE REVISED),08-MAR-18,09-MAR-18
CGCL,Capri Global Capital Limited,2.00,386.82,86.20,44874709.97679815,ANNUAL GENERAL MEETING\/DIVIDEND- RE 0.30 PER SHARE,19-JUL-18,-
