Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
20-Apr-23,SATIA,119.85,118.7,0.0096,0.0279,0.0278,0.5311
20-Apr-23,SATIN,145.85,146.1,-0.0017,0.0303,0.0303,0.5789
20-Apr-23,SATINDLTD,58.9,60.3,-0.0235,0.0243,0.0243,0.4643
20-Apr-23,SATYASHYAM,22.65,22.65,0,0,0,0
20-Apr-23,SBC,18.95,18.5,0.024,0.03,0.03,0.5731
20-Apr-23,SBCL,486.9,486.1,0.0016,0.0328,0.0327,0.6247
20-Apr-23,SBGLP,189.4,184.5,0.0262,0.01,0.0101,0.193
20-Apr-23,SBICARD,753.7,759.15,-0.0072,0.0176,0.0176,0.3362
20-Apr-23,SBIETFCON,74.22,73.95,0.0036,0.0084,0.0084,0.1605
20-Apr-23,SBIETFIT,277.63,279.69,-0.0074,0.0129,0.0129,0.2465
20-Apr-23,SBIETFPB,214.12,213.35,0.0036,0.0124,0.0124,0.2369
20-Apr-23,SBIETFQLTY,149.17,149.52,-0.0023,0.0087,0.0087,0.1662
20-Apr-23,SBILIFE,1128.85,1123.4,0.0048,0.0161,0.0161,0.3076
20-Apr-23,SBIN,544.8,540.3,0.0083,0.0176,0.0175,0.3343
20-Apr-23,SCAPDVR,18.2,19.2,-0.0535,0.0408,0.0408,0.7795
20-Apr-23,SCEL,10,10,0,0,0,0
20-Apr-23,SCHAEFFLER,2775.9,2855,-0.0281,0.0202,0.0202,0.3859
20-Apr-23,SCHAND,216.1,216.25,-0.0007,0.0307,0.0306,0.5846
20-Apr-23,SCHNEIDER,166.1,164.45,0.01,0.0295,0.0295,0.5636
20-Apr-23,SCI,92.25,94.8,-0.0273,0.0278,0.0278,0.5311
20-Apr-23,SCPL,573.5,678.55,-0.1682,0.0192,0.0225,0.4299
20-Apr-23,SDBL,170.15,171.2,-0.0062,0.0329,0.0328,0.6266
20-Apr-23,SDL24BEES,112.79,112.79,0,0.0018,0.0018,0.0344
20-Apr-23,SDL26BEES,112.44,112.25,0.0017,0.0032,0.0032,0.0611
20-Apr-23,SEAMECLTD,677.8,692.85,-0.022,0.0365,0.0364,0.6954
20-Apr-23,SECURCRED,25.2,23.5,0.0698,0.0328,0.0331,0.6324
20-Apr-23,SECURKLOUD,31.8,31.5,0.0095,0.0388,0.0387,0.7394
20-Apr-23,SEJALLTD,235,225.7,0.0404,0.0251,0.0252,0.4814
20-Apr-23,SELAN,259.85,258.3,0.006,0.0343,0.0342,0.6534
20-Apr-23,SELMC,177,173.55,0.0197,0.0747,0.0745,1.4233
20-Apr-23,SEPC,10.65,10.1,0.053,0.0394,0.0395,0.7546
20-Apr-23,SEPOWER,14.7,14.6,0.0068,0.0345,0.0345,0.6591
20-Apr-23,SEQUENT,74.25,77.3,-0.0403,0.0332,0.0332,0.6343
